"# of Use","# de uso"
"%1$s incl tax.","%1$ incluido impuesto."
"%s - %s","%s - %s"
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(copiar datos desde: %s)"
"Are you sure you would like to remove this item from the compare products?","¿Está seguro de que quiere eliminar este producto de la lista de comparación?"
"Based On","Basado en"
"Search","Búsqueda"
"Invalid block: %s","Block inválido: %s"
"Block after Info Column","Bloque después de la columna de Información"
"Static block only","Bloque estático solamente"
"Static block and products","Bloque estático y productos"
"Delete","Borrar"
"Delete Attribute","Borrar atributo"
"Delete Search","Borrar búsqueda"
"Delete Category","Borrar categoría"
"Delete Attribute Set","Borrar conjunto de atributos"
"Delete Selected Group","Borrar el grupo seleccionado"
"Delete Option","Borrar opción"
"Clear All","Borrar todo"
"Clear All Items","Borrar todos los articulos"
"Searchable","Buscable"
"Browse By","Buscar por"
"each","Cada"
"Change","Cambiar"
"Change status","Cambiar el estado"
"Change or Retrieve attribute store view","cambiar o recuperar atributo de la vista de la tienda"
"Text Field","Campo de texto"
"Qty","Cantidad"
Ordered qty,Cantidad pedida
"Qty for Item's Status to become Out of Stock","Cantidad de elementos antes de estar fuera de existencia"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"Minimum Qty for Item's Status to be Out of Stock","Cantidad minima para que el estado del artículo sea ""sin existencias"""
"Default Qty","Cantidad por defecto"
"Letters","Cartas"
"Catalog","Catálogo"
"Catalog Section","Catálogo de la sección"
"Catalog, Search","Catálogo, Búsqueda"
"Category","Categoría"
"Category deleted","Categoría borrada"
"Category saved","Categoría grabada"
"Invalid category","Categoría no válida"
"Parent Category","Categoría padre"
"Categories","Categorías"
"categories","Categorías"
"Product Categories","Categorías del producto"
"Category Top Navigation","Categoria Padre"
"Category URL Suffix","Categoria Sufijo URL"
"SKU","Código"
"Attribute Code","Código del atributo"
"Missing SKU, skipping the record","Código perdido, se omite el registro"
"Close Window","Cerrar la ventana"
"Collapse All","Cerrar todo"
"Set root category for this store in the <a href=""%s"">configuration</a>","Colocar la categoría raiz para esta tienda en la <a href=""%s"">configuración</a>"
"Conditions Combination","Combinación de condiciones"
"Customers Reviews","Comentarios de los clientes"
"Products Reviews","Comentarios de los productos"
"Product Reviews","Comentarios del producto "
"Pending Reviews RSS","Comentarios pendientes por RSS"
"Starting at:","Comenzando desde:"
"Comparable","Comparable"
"Comparable on Front-end","Comparable en el Frontend"
"Compare Items","Comparar artículos"
"Compare Products List","Comparar la lista de productos"
"Compare Products","Comparar productos"
"Compare Products (%d)","Comparar productos (%d)"
"Compare Products - %d Items","Comparar productos - %d artículos"
"Buy %1$s for %2$s","Comprar %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Comprar %1$s por %2$s (%3$s incl. impuestos)"
"Buy %1$s for %2$s each","Comprar cada  %1$s por %2$s"
"Shop by","Comprar por"
"Check items to add to the cart or","Compruebe los elementos a añadir a la cesta o"
"Super product attributes configuration","Configuración de los atributos de super productos"
"Configurable Product Settings","Configuracion de los productos configurables"
"Settings","Configuraciones"
"Set Root Category For Store","Configurar la categoría raíz para la tienda"
"Set Ascending Direction","Configurar sentido ascendente"
"Set Descending Direction","Configurar sentido descendente"
"Attribute Set","Conjunto de atributos"
"Get special price","Consigue precio especial"
"Search Query","Consulta de búsqueda"
"Product Image Placeholders","Contenedores para las imágenes de los productos"
"Continue","Continuar"
"Options Control","Control de opciones"
"Copy From Configurable","Copiar del configurable"
"Email","Correo electrónico"
"Quick Create","Creación rápida"
"Quick simple product creation","Creación rápida de producto simple"
"Create","Crear"
"Create (Upload)","Crear (Subir)"
"Create Product Settings","Crear configuraciones de productos"
"Create new category","Crear nueva categoría"
"Create new product","Crear nuevo producto"
"Create Simple Associated Product","Crear producto simple asociado"
"Create Empty","Crear vacío"
"Grid","Cuadricula"
"Category Data","Datos de la categoría"
"Options is required","Debe elegir la opción"
"must be in the allowed values list","Debe estar en la lista de valores permitidos"
"Decimal","Decimal"
"Declare attribute value saving scope","Declarar el alcance del valor del atributo a grabar"
"leave blank if its not an image","Dejar en blanco si no hay una imagen"
"Depends on design theme","Depende del diseño/tema"
"Product Description","Descripción del producto"
"Quick Overview","Descripción rápida"
"Description","Description"
"unselect all","deseleccionar todo"
"Disabled","Deshabilitado"
"Dropdown","Desplegable"
"Design","Diseño"
"Custom Design","Diseño personalizado"
"Availability","Disponibilidad"
"Stock Availability","Disponibilidad en existencia"
"Availability: In stock.","Disponibilidad: En existencia"
"Availability: Out of stock.","Disponibilidad: No se encuentra en existencia."
"Double click on above image to view full picture","Doble click en la imagen para abrir/cerrar"
"Double click on a group to rename it","Doble click en un grupo para renombrarlo"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Duplicar el precio escalonado, el grupo de clientes y la cantidad del sitio web "
"Duplicate website, country and state tax found.","Duplicar página web, país y impuestos encontrados."
"Globally Editable","Editable en forma global"
"Edit","Editar"
"Edit Product Attribute","Editar el atributo del producto"
"Edit Product Attribute ""%s""","Editar el atributo del producto ""%s"""
"Edit Attribute Set '%s'","Editar el conjunto de atributos '%s'"
"Edit Search","Editar la búqueda"
"Edit Search '%s'","Editar la búqueda '%s'"
"ex. http://domain.com","ej. http://dominio.com"
"Invalid attribute %s","El atributo %s no es correcto"
"Product attribute was successfully deleted","El atributo del producto fue borrado con éxito"
"Product attribute was successfully saved","El atributo del producto fue grabado con éxito"
"Review successfully deleted","El comentario fue borrado con éxito"
"Review was successfully saved","El comentario fue grabado con éxito"
"Review was saved successfully","El comentario fue grabado con éxito"
"Invalid attribute set specified, skipping the record","El conjunto de atributos especificado es inválido, se omite el registro"
"Filter must be as object. Set correct filter please","El filtro debe ser un objeto. Seleccione el filtro correcto"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","El filtro del catalogo esta limitado a %2$d. Actualmente hay%1$d. Reduce el número de filtros en este módulo."
"File options format is not valid","El formato de fichero no és válido"
"Attribute group with the ""/name/"" name already exists","El grupo de atributo ""/ name/"" ya existe"
"Invalid option id specified for %s (%s), skipping the record","El ID de opción especificado para %s (%s) es inválido, se omite el registro"
"Attribute model not defined","El modelo del atributo no está; definido"
"Filter model name must be declared","El nombre del modelo de filtro debe estar declarado"
"Product %s successfully added to compare list","El producto %s fue agregado con éxito a la lista de comparación"
"Product %s successfully removed from compare list","El producto %s fue quitado con éxito de la lista de comparación"
"Visible on Product View Page on Front-end","El producto es visible en la parte pública"
"Product was successfully created.","El producto fue creado con éxito."
"Product was successfully saved.","El producto fue grabado con éxito."
"Product has required options","El producto ha requerido opciones"
"Web Site Store Must be checked","El sitio Web de la tienda debe ser verificado"
"Web Site Item Must be checked","El sitio web debe ser comprobado"
"Search Term with such search query already exist.","El término de búsqueda con dicha consulta de búsqueda ya existe."
"Search Term was successfully saved","El término de búsqueda fue grabado con éxito"
"Invalid image file type","El tipo de archivo de la imagen es inválido"
"Image type and information need to be specified for each store view.","El tipo de imagen y la información deben ser especificos para cada vista de tienda."
"Invalid product type specified, skipping the record","El tipo de producto especificado es inválido, omitiendo el registro"
"Link product not exists.","El vínculo del producto no existe."
"Remove product assignment","Eliminar assignación de productos"
"Delete category","Eliminar categoría"
"Remove Product From Websites","Eliminar el producto de los websites"
"Remove product link","Eliminar el vínculo del producto"
"Delete Row","Eliminar fila"
"Remove product image","Eliminar la imagen del producto"
"Delete product","Eliminar producto"
"In stock","En existencia"
"In Stock","En existencia"
"In stock.","En existencia."
"Nowhere","En ningún lugar"
"Integer","Entero"
"Email to a Friend","Envíe un correo sobre el producto"
"Send Count","Enviar conteo"
"Error while adding customers for %s alert. Message: %s","Error al agregar clientes %s a la alerta. Mensaje: %s"
"Category delete error","Error al borrar la categoría"
"Product saving error.","Error al grabar el producto"
"Error while saving this group. Please try again later.","Error al grabar este grupo. Por favor, intente más tarde."
"Error while saving this group. Group with the same name already exists.","Error al grabar este grupo. Ya existe un grupo con el mismo nombre."
"Category move error","Error al mover la categoría"
"Error during retrieval of option value: %s","Error durante la recuperación del valor de la opción: %s"
"Wrong product instance type in options group","Error en el producto en las opciones de grupo"
"Wrong BuyRequest instance in options group","Error en la solicitud de compra"
"cache refresh needed","Es necesario refrescar la caché"
"Is Default","Es por defecto"
"This search no longer exists","Esta búsqueda no existe más"
"This is a required option","Esta es una opción obligatoria"
"Set special price","Establecer precio especial"
"Status","Estado"
"Are you sure you want to delete this category?","Está seguro de borrar esta categoría?"
"Are you sure?","Está seguro?"
"Static","Estático"
"This attribute no longer exists","Este atributo no existe más"
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Traslade los atributos del sistema a otro grupo e intente nuevamente."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene los atributos utilizados en los productos configurables. Por favor mueva estos atributos a otro grupo y vuelva a intentarlo."
"Stretch","Estiramiento"
"Label","Etiqueta"
"Attribute Label","Etiqueta del atributo"
"Product Tags","Etiquetas del producto"
"Exclude","Excluir"
"Expand All","Expandir todo"
"Failed","Fallo"
"Failed to move file: %s","Fallo al mover el archivo: %s"
"Datetime","Fecha-Hora"
"Date","Fecha"
"Date Subscribed","Fecha de suscripción"
"Date & Time Custom Options","Fecha y hora opciones personalizadas"
"Fixed","Fijo"
"Filterable (with results)","Filtrable (con resultados)"
"Filterable (no results)","Filtrable (sin resultados)"
"Time format","Formato de la hora"
"Frontend","Frontend"
"Out of Stock","Fuera de existencia"
"Out of stock","Fuera de existencia"
"Out of stock.","Fuera de existencia."
"Gallery","Galería"
"Manage Stock","Gestión de existéncias"
"Url Rewrite Management","Gestionar la reescritura de URL"
"Manage Categories","Gestionar las categorías"
"Manage Catalog Categories","Gestionar las categorías del catálogo"
"Manage Label / Options","Gestionar las etiquetas / opciones"
"Manage Options (values of your attribute)","Gestionar las opciones (valores de sus atributos)"
"Manage Attributes","Gestionar los atributos"
"Manage Product Attributes","Gestionar los atributos del producto"
"Manage Attribute Sets","Gestionar los conjuntos de atributos"
"Manage Product Sets","Gestionar los conjuntos del producto"
"Manage Products","Gestionar los productos & lotes"
"Manage Titles (Size, Color, etc.)","Gestionar los títulos (tamaño, color, etc.)"
"Global","Global"
"Customer Group","Grupo de clientes"
"Groups","Grupos"
"Saved ","Guardado"
"Save","Guardar"
"save","guardar"
"Save Attribute","Guardar el atributo"
"Save Attribute Set","Guardar el conjunto de atributos"
"Save Search","Guardar la búsqueda"
"Save Category","Guardar la categoría"
"Save And Continue Edit","Guardar y continuar editando"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Guarde los datos antes de hacer clic en la fila de lo contrario perderá todos los datos."
"Enabled","Habilitado"
"There was an error while adding products to websites","Hubo un error al agregar productos a los websites"
"There was an error while removing products from websites","Hubo un error al eliminar productos de los websites"
"Problem saving the collection, aborting. Error: %s","Hubo un problema al grabar la colección, cancelando. Error: %s"
"ID","ID"
"ID: %s","ID: %s"
"Image","Imagen"
"Image not specified.","Imagen no especificada."
"Invalid image type.","Imagen no válida."
"Media Image","Imágenes de medios"
"Product Images","Imágenes del producto"
"Amount","Importe"
"Print This Page","Imprimir esta página"
"Tax","Impuestos"
"Incl. Tax","Impuestos incluidos"
"Bottom/Right","Inferior/Derecha"
"Bottom/Left","Inferior/Izquierda"
"Additional Information","Información adicional"
"Search Information","Información de búsqueda"
"Products Information","Información de los productos"
"Attribute Information","Información del atributo"
"Product Information","Información del producto"
"Product Info Column","Información del producto"
"General Information","Información general"
"Home","Inicio"
"Inventory","Inventario"
"Go to Home Page","Ir a la página de Inicio"
"Customers for alert %s was successfuly added to queue","La alerta por clientes %s fue agregada a la cola de tareas con éxito"
"Search was successfully deleted","La búsqueda fue borrada con éxito"
"Qty Uses Decimals","Cantidad Usos Decimales"
"Category must be instance of Mage_Catalog_Model_Category","La categoria depende de la instancia Mage_Catalog_Model_Category"
"Selected configuration is not available.","La configuración seleccionada no está disponible."
"Image content is not valid base64 data.","La imagen no es de ""base64"""
"Image not exists","La imagen no existe"
"Please specify date required option(s)","La opción de fecha és obligatoria"
"Invalid attribute option specified for attribute %s (%s), skipping the record","La opción del atributo especificada es inválida para el atributo %s (%s), se omite el registro"
"Invalid store specified","La tienda especificada es inválida"
"Invalid store specified, skipping the record","La tienda especificada es inválida, se omite el registro"
"Line %d, SKU: %s","Línea %d, código: %s"
"Line %d, Email: %s","Línea %d, correo electrónico: %s"
"Letters(a-zA-Z) or Numbers(0-9)","Letras(a-zA-Z) o números(0-9)"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"List","Lista"
"Used in product listing","Lista de productos utilizados"
"Used for sorting in product listing","Lista de productos utilizados para la clasificación"
"Product listing sort by","Listado de productos por tipo"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no quiere mostrar en el catálogo o en los resultados de las búsquedas deben tener como estado 'Deshabilitado' en la tienda deseada."
"Filters must be as array","Los filtros deben ser cadenas"
"Invalid category IDs","Los IDs de las categorías son inválidos"
"Attrribute names can be specified per store.","Los nombres de atributos se puede especificar por tienda."
"Price values for options should be specified in system base currency.","Los valores de precio para las opciones deben especificarse en la moneda base del sistema."
"Site Map","Mapa del sitio"
"Sitemap","Mapa del sitio"
"Categories Sitemap","Mapa del sitio de categorías"
"Products Sitemap","Mapa del sitio para Productos"
"Watermark","Marca de agua"
"Product Image Watermarks","Marcas de agua para las imágenes de los productos"
"More Views","Más vistas"
"Maximal Depth","Máxima profundidad"
"Best Value","Mejor valor"
"Backend Model","Modelo de backend"
"Attribute Model","Modelo del atributo"
"Frontend Model","Modelo del Frontend"
"List Mode","Modo de la lista"
"Show","Mostrar"
"Show Details","Mostrar detalles"
"Display in Suggested Terms","Mostrar en los términos sugeridos"
"Show Tags","Mostrar etiquetas"
"Move","Mover"
"Move category in tree","Mueve la categoría en árbol"
"Category Navigation:","Navegación de la categoría"
"Number of results<br/>(For last time placed)","Número de resultados<br/>(Desde la última vez)"
"Number of Uses","Número de usos"
"Decimal Number","Número decimal"
"Integer Number","Número entero"
"Maximum number of characters","Número máximo de caracteres"
"Max Characters","Número máximo de caracteres"
"Minimum Lines Per Page","Número mínimo de línias por página"
"None","Ninguno"
"No","No"
"Not shared with other products","No compartido con otros productos"
"Unable to complete request. Please try again later.","No es posible completar su solicitud. Por favor, intente más tarde."
"There are no %s available.","No hay %s disponible."
"There are no customers for this alert","No hay clientes para esta alerta"
"No image","No hay imágen"
"No options of this product are available.","No hay opciones de este producto disponibles."
"There are no products matching the selection.","No hay productos que concuerden con la selección."
"You cannot update this attribute","No puede actualizar este atributo"
"You cannot delete this attribute","No puede borrar este atributo"
"Can't create image.","No puede crear imagen."
"You cannot edit this attribute","No puede editar este atributo"
"You cannot remove system attribute from this set.","No puede quitar este atributo de este conjunto."
"No product collections found","No se encontraron colecciones del producto"
"Unable to find an attribute to delete","No se encuentra un atributo para borrar"
"Unable to find a search term to delete","No se encuentra un término de búsqueda para borrar"
"Base directory to upload image file is not specified","No se ha especificado el directorio base para subir el archivo de la imágen"
"Option validation failed to add product to cart","No se ha podido añadir a la cesta de productos"
"Cannot create writeable directory '%s'","No se ha podido crear el directorio '%s'"
"File upload failed","No se han podido cargar  los ficheros"
"Unable to get product id.","No se puede obtener el ID del producto."
"You have no items to compare.","No tiene artículos para comparar."
"Name","Nombre"
"First Name","Nombre"
"Tag Name","Nombre de la etiqueta"
"Attribute Name:","Nombre del atributo:"
"Set Name","Nombre del conjunto"
"Attrib. Set Name","Nombre del conjunto de atributos"
"Product Name","Nombre del producto"
"Name In %s","Nombre en %s"
"Name<br/>(For internal use)","Nombre<br/>(Para uso interno)"
"Notify Low Stock RSS","Notificar existencia baja por RSS"
"Notify for Quantity Below","Notificar para cantidad menor que"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nuestro servicio de atención al cliente está disponible 24/7. Llámenos al (555) 555-0123."
"New Search","Nueva búsqueda"
"New Category","Nueva categoría"
"New Product Attribute","Nuevo atributo del producto"
"New Set Name","Nuevo nombre del conjunto"
"New Product","Nuevo producto"
"New Products","Nuevos productos"
"OR","O"
"Set/Get current store view","Obtener vista actual tienda"
"Skip import row, store ""%s"" field not exists","Omitir la fila de importación, el campo de la tienda ""%s"" no existe"
"Skip import row, required field ""%s"" not defined","Omitir la fila de importación, el campo requerido ""%s"" no está; definido"
"Skip import row, required field ""%s"" for new customer not defined","Omitir la fila de importación, el campo requerido ""%s"" para el nuevo cliente no está definido"
"Skip import row, required field ""%s"" for new products not defined","Omitir la fila de importación, el campo requerido ""%s"" para los nuevos productos no está definido"
"Skip import row, is not valid value ""%s"" for field ""%s""","Omitir la fila de importación, no es un valor válido ""%s"" para el campo ""%s"""
"Wrong option instance type in options group","Opción erronea en las opciones del grupo"
"Option:","Opción:"
"Shopping Options","Opciones de compra"
"Custom Options","Opciones personalizadas"
"Reviews","Opiniones"
"Search Engine Optimizations","Optimizaciones para el motor de búsqueda"
"Sort Order","Orden de clasificación"
"Sort by","Ordenar por"
"Date fields order","Ordenar por fecha"
"Source Model","Origen del modelo"
"Country/State","País"
"For reindex enabled product(s) you need specify store or product","Para habilitar los productos necesita especificar tienda o producto"
"For internal use. Must be unique with no spaces","Para uso interno. Debe ser único y sin espacios"
"Roll Over for preview","Pasar el mouse para una vista previa"
"Page:","Página:"
"Backorders","Pedidos de artículos agotados pendientes"
"Pending","Pendiente"
"Allowed File Extensions","Permitir extenciones de ficheros"
"Allowed file extensions to upload","Permitir extenciones de ficheros para descargar"
"Allow HTML-tags on Front-end","Permitir HTML-tags en la parte pública"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"PM","PM"
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please enter a new group name","Por favor, escriba un nuevo nombre de grupo"
"Please specify the product option(s)","Por favor, especifique el producto"
"Please specify time required option(s)","Por favor, especifique el tiempo necesario"
"Please specify the product(s) quantity","Por favor, especifique la cantidad de producto(s)"
"Please specify the product required option(s)","Por favor, especifique la opción de producto"
"Please set up merge date/time .","Por favor, establezca combinación de fecha/hora."
"Please click on Close Window button if it won't be closed automatically","Por favor, presione el botón 'Cerrar ventana' si no se cierra automáticamente"
"Please select product(s)","Por favor, seleccione producto(s)"
"Please select products for attributes update","Por favor, seleccione productos para la actualización de los atributos"
"Please select  items","Por favor, seleccione registros"
"Please select static block ...","Por favor, seleccione un bloque estático  ..."
"Please select one or more attributes.","Por favor, seleccione uno o más atributos"
"Please, use four-digit year format","Por favor, utilice el formato de cuatro dígitos para especificar el año"
"per page","por página"
"Percentage","Porcentaje"
"Position","Posición"
"Watermark Position","Posición de la marca de agua"
"Position of attribute in layered navigation block","Posición del atributo en el bloque de navegación por capas"
"Position In Layered Navigation","Posición en la navegación por capas"
"Price","Precio"
"Old Price:","Precio anterior:"
"Tier Pricing","Precio escalonado"
"Special Price:","Precio especial:"
"Default price","Precio por defecto"
"Regular Price:","Precio regular:"
"Price:","Precio:"
"Invalid Tier Prices","Precios no válidos"
"Prev","Prev"
"Previous","Previo"
"Url rewrie save problem.","Problema al guardar la rescriptura de URL"
"Product","Producto"
"Grouped Product","Producto agrupado"
"Product deleted","Producto borrado"
"Product with this combination of attributes already associated to configurable.","Producto con esta combinación de atributos ya asociado a configurable."
"Configurable Product","Producto configurable"
"Product duplicated","Producto duplicado"
"Customers Tagged Product","Producto etiquetado por los clientes"
"Simple Product","Producto simple"
"Virtual Product","Producto virtual"
"Products","Productos"
"products","Productos"
"Associated Products","Productos asociados"
"Category Products","Productos de la categoría"
"Feature Products","Productos destacados"
"Product In Websites","Productos en los Sitios Web"
"Products per Page on List allowed values","Productos por página en formato lista"
"Products per page on Grid allowed values","Productos por página en formato parrilla"
"Related Products","Productos relacionados"
"Properties","Propiedades"
"Attribute Properties","Propiedades del atributo"
"Frontend Properties","Propiedades del Frontend"
"System Properties","Propiedades del sistema"
"px.","px."
"Remove","Quitar"
"Remove This Item","Quitar este artículo"
"Remove Product","Quitar producto"
"Root","Raiz"
"Year Range","Rango de año"
"Retrieve categories tree","Recupera el arbol de categorías"
"Retrieve product","Recupera el producto"
"Retrieve product image types","Recupera la imagen de los tipos de producto"
"Retrieve product image","Recupera la imagen del producto"
"Retrieve list of assigned products","Recupera la lista de los productos"
"Retrieve product image list","Recupera las imagenes del producto"
"Retrieve category attributes","Recupera los atributos de la categoría"
"Retrieve category data","Recupera los datos de la categoría"
"Retrieve linked products","Recupera los productos relacionados"
"Retrieve attribute data","Recuperar datos de los atributos"
"Retrieve attribute list","Recuperar la lista de los atributos"
"Retrieve products list by filters","Recuperar la lista de productos"
"Retrieve attribute options","Recuperar las opciones  del atributo"
"Retrieve product link type attributes","Recuperar los atributos del producto"
"Retrieve product attribute sets","Recuperar los conjuntos de atributos de los productos"
"Retrieve product tier prices","Recuperar los precios de productos"
"Retrieve products data","Recuperar los productos"
"Retrieve product types","Recuperar los tipos de producto"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categoria de website/store view/parent"
"Retrieve product link types","Recuperar vínculo del producto"
"Redirect","Redireccionar"
"Records for ""","Registros por """
"Reset","Reiniciar"
"Required","Requerido"
"Results","Resultados"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Learn More","Saber más"
"Yes","Sí"
"Product collection expected","Se esperaba una colección de producto"
"Compare list successfully cleared","Se ha borrado con éxito la lista de comparación"
"There was an error while cleared compare list","Se ha producido un error al comparar la lista"
"There was an error while updating product(s) status","Se ha producido un error durante la actualización"
"Product saving error. ","Se ha producido un error en el momento de guardar."
"There was an error while updating product(s) attributes","Se produjo un error mientras se actualizaban los atributos de producto(s)"
"Is Required","Se requiere"
"A name is required","Se requiere un nombre"
"Multiple Select","Selección múltiple"
"Select Configurable Attributes ","Seleccionar atributos configurables "
"select all","seleccionar todo"
"Select type of option","Seleccione el tipo de opción"
"Select type options required values rows.","Seleccione las opciones necesarias en las filas."
"Choose option...","Seleccione opción..."
"Choose an Option...","Seleccione una opción..."
"comma separated","Separado por comas"
"Page Title Separator","Separador del título de la página"
"Short Description","Short Description"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no especifica una opción para la vista de la tienda por defecto (Administardor) usará la vista global."
"Yes/No","Si/No"
"Next","Siguiente"
"No layout updates","Sin actualizaciones de layout"
"Synonym for","Sinónimo para"
"Synonym For","Sinónimo Para"
"System","Sistema"
"Website","Sitio web"
"Websites","Sitios web"
"Products only","Solo productos"
"Can be used only with catalog input type Dropdown","Solo puede usarse con un tipo de dato de menú desplegable en el catálogo"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Solo puede usarse con un tipo de dato de menú desplegable en el catálogo, selección múltiple y precio"
"Upload new product image ","Subir nueva imagen del producto"
"Product URL Suffix","Sufijo en la URL de los productos"
"Subscribe to RSS Feed","Suscribirse al feed RSS"
"Subscribe to Feed","Suscribirse al feed RSS"
"Backend Table","Tabla de backend"
"Maximum Image Size","Tamaño máximo de la imagen"
"Watermark Default Size","Tamaño por defecto de la marca de agua"
"You may also be interested in the following product(s)","También pueden interesarle los siguientes productos"
"We Also Recommend","También recomendamos"
"As low as:","Tan bajo como:"
"Tile","Título"
"Title","Título"
"Backend Table Title","Título de la tabla de backend"
"Text","Texto"
"Length of text is too long","Texto demasiado largo"
"Store","Tienda"
"Type","Tipo"
"Input Type","Tipo de entrada"
"Catalog Input Type for Store Owner","Tipo de entrada del catálogo para el dueño de la tienda"
"Price Type","Tipo de precio"
"Product Type","Tipo de producto"
"Data Type for Saving in Database","Tipos de datos para grabar en la base de datos"
"Selected Product Types","Tipos de productos seleccionados"
"All","Todo"
"ALL GROUPS","TODOS LOS GRUPOS"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos los productos seran eliminados. ¿Esta seguro que quiere eliminarlos?"
"All Product Types","Todos los tipos de productos"
"Total incl. Tax: %1$s","Total incl. Impuestos: %1$s"
"Total Qty Base Items","Total Qty Base Items"
"Last Notification","Ultima notificación"
"Total of %d record(s) were successfully updated","Un total de %d registro(s) fueron actualizados con éxito"
"Total of %d record(s) were successfully deleted","Un total de %d registro(s) fueron borrados con éxito"
"Url","URL"
"Redirect URL","URL de redireccionamiento"
